BurnBlock,Area,Starts,Prob
1608,1400,1,0.000613497
1609,1240,1,0.000613497
1610,1493,1,0.000613497
1611,1359,0,0
1612,6886,0,0
1613,6654,2,0.001226994
1614,3337,1,0.000613497
1615,1972,0,0
1616,4278,1,0.000613497
1617,6279,4,0.002453988
1618,1940,0,0
1619,1639,0,0
1620,1002,0,0
1621,1827,1,0.000613497
1622,2882,0,0
1623,5257,1,0.000613497
1624,5140,2,0.001226994
1625,3464,1,0.000613497
1626,2056,0,0
1627,1101,0,0
1628,875,0,0
1629,8044,1,0.000613497
1630,1446,0,0
1631,1438,0,0
1632,886,0,0
1633,5289,2,0.001226994
1634,6845,6,0.003680982
1635,3151,1,0.000613497
1636,7464,31,0.019018405
1637,4893,5,0.003067485
1638,754,1,0.000613497
1639,929,0,0
1640,718,0,0
1641,4542,1,0.000613497
1642,4427,2,0.001226994
1643,1840,1,0.000613497
1644,821,0,0
1645,1212,3,0.001840491
1646,639,0,0
1647,605,0,0
1648,759,1,0.000613497
1649,5664,0,0
1650,4254,1,0.000613497
1651,805,0,0
1652,1700,0,0
1653,1866,0,0
1654,1471,0,0
1655,3638,0,0
1656,981,0,0
1657,2712,1,0.000613497
1658,1211,0,0
1659,3267,0,0
1660,2424,0,0
1661,2391,8,0.004907975
1662,3196,0,0
1663,595,0,0
1664,841,0,0
1665,1457,0,0
1666,1437,1,0.000613497
1667,3392,1,0.000613497
1668,568,0,0
1669,1817,1,0.000613497
1670,2822,1,0.000613497
1671,3570,0,0
1672,4950,0,0
1673,487,0,0
1674,2045,0,0
1675,2875,0,0
1676,506,0,0
1677,846,0,0
1678,2029,1,0.000613497
1679,1156,0,0
1680,1640,0,0
1681,1689,0,0
1682,3088,0,0
1683,471,0,0
1684,869,0,0
1685,1623,0,0
1686,3468,0,0
1687,1326,0,0
1688,1395,0,0
1689,1456,0,0
1690,1254,0,0
1691,792,0,0
1692,1709,0,0
1693,5645,5,0.003067485
1694,3437,0,0
1695,802,0,0
1697,371,0,0
1698,1030,0,0
1699,1369,0,0
1700,967,0,0
1701,1680,0,0
1702,1100,0,0
1703,3110,2,0.001226994
1704,1189,0,0
1705,2146,1,0.000613497
1706,1684,1,0.000613497
1707,1920,0,0
1708,2178,0,0
1709,3468,1,0.000613497
1710,1801,1,0.000613497
1711,3573,1,0.000613497
1712,1603,0,0
1713,2565,0,0
1714,1739,0,0
1715,664,0,0
1716,479,0,0
1717,699,1,0.000613497
1718,1142,0,0
1719,723,0,0
1720,1749,0,0
1721,901,0,0
1722,1580,0,0
1723,992,0,0
1724,950,1,0.000613497
1725,4323,0,0
