pre,post_1,post_2,start,end,,
1054104,1054105,-1,41,60,,
1054105,1054106,-1,61,100,,
1054106,-1,-1,101,999999999,,
1054201,1054202,-1,0,10,,
1054202,1054203,-1,11,20,,
1054203,1054204,-1,21,40,,
1054204,1054205,-1,41,60,,
1054205,1054206,-1,61,100,,
1054206,-1,-1,101,999999999,,
1054301,1054302,-1,0,10,,
1054302,1054303,-1,11,20,,
1054303,1054304,-1,21,40,,
1054304,1054305,-1,41,60,,
1054305,1054306,-1,61,100,,
1054306,-1,-1,101,999999999,,
1054401,1054402,-1,0,10,,
1054402,1054403,-1,11,20,,
1054403,1054404,-1,21,40,,
1054404,1054405,-1,41,60,,
1054405,1054406,-1,61,100,,
1054406,-1,-1,101,999999999,,
1061401,-1,-1,0,999999999,,
1069000,-1,-1,0,999999999,,
1071401,-1,-1,0,999999999,,
2011101,2011102,-1,0,10,,
2011102,2011103,-1,11,20,,
2011103,2011104,-1,21,40,,
2011104,2011105,-1,41,60,,
2011105,2011106,-1,61,100,,
2011106,-1,-1,101,999999999,,
2011201,2011202,-1,0,10,,
2011202,2011203,-1,11,20,,
2011203,2011204,-1,21,40,,
2011204,2011205,-1,41,60,,
2011205,2011206,-1,61,100,,
2011206,-1,-1,101,999999999,,
2011301,2011302,1051402,0,10,,
2011302,2011303,1051403,11,20,,
2011303,2011304,1051404,21,40,,
2011304,2011305,1051405,41,60,,
2011305,2011306,1051406,61,100,,
2011306,-1,-1,101,999999999,,
2012101,2012102,-1,0,10,,
2012102,2012103,-1,11,20,,
2012103,2012104,-1,21,40,,
2012104,2012105,-1,41,60,,
2012105,2012106,-1,61,100,,
2012106,-1,-1,101,999999999,,
2012201,2012202,-1,0,10,,
2012202,2012203,-1,11,20,,
2012203,2012204,-1,21,40,,
2012204,2012205,-1,41,60,,
2012205,2012206,-1,61,100,,
2012206,-1,-1,101,999999999,,
2012301,2012302,-1,0,10,,
2012302,2012303,-1,11,20,,
2012303,2012304,-1,21,40,,
2012304,2012305,-1,41,60,,
2012305,2012306,-1,61,100,,
2012306,-1,-1,101,999999999,,
2012401,2012402,-1,0,10,,
2012402,2012403,-1,11,20,,
2012403,2012404,-1,21,40,,
2012404,2012405,-1,41,60,,
2012405,2012406,-1,61,100,,
2012406,-1,-1,101,999999999,,
2013101,2013102,-1,0,10,,
2013102,2013103,-1,11,20,,
2013103,2013104,-1,21,40,,
2013104,2013105,-1,41,60,,
2013105,2013106,-1,61,100,,
2013106,-1,-1,101,999999999,,
2013201,2013202,-1,0,10,,
2013202,2013203,-1,11,20,,
2013203,2013204,-1,21,40,,
2013204,2013205,-1,41,60,,
2013205,2013206,-1,61,100,,
2013206,-1,-1,101,999999999,,
2013301,2013302,-1,0,10,,
2013302,2013303,-1,11,20,,
2013303,2013304,-1,21,40,,
2013304,2013305,-1,41,60,,
2013305,2013306,-1,61,100,,
2013306,-1,-1,101,999999999,,
2013401,2013402,-1,0,10,,
2013402,2013403,-1,11,20,,
2013403,2013404,-1,21,40,,
2013404,2013405,-1,41,60,,
2013405,2013406,-1,61,100,,
2013406,-1,-1,101,999999999,,
2014101,2014102,-1,0,10,,
2014102,2014103,-1,11,20,,
2014103,2014104,-1,21,40,,
2014104,2014105,-1,41,60,,
2014105,2014106,-1,61,100,,
2014106,-1,-1,101,999999999,,
2014201,2014202,-1,0,10,,
2014202,2014203,-1,11,20,,
2014203,2014204,-1,21,40,,
2014204,2014205,-1,41,60,,
2014205,2014206,-1,61,100,,
2014206,-1,-1,101,999999999,,
2014301,2014302,-1,0,10,,
2014302,2014303,-1,11,20,,
2014303,2014304,-1,21,40,,
2014304,2014305,-1,41,60,,
2014305,2014306,-1,61,100,,
2014306,-1,-1,101,999999999,,
2014401,2014402,-1,0,10,,
2014402,2014403,-1,11,20,,
2014403,2014404,-1,21,40,,
2014404,2014405,-1,41,60,,
2014405,2014406,-1,61,100,,
2014406,-1,-1,101,999999999,,
2015101,2015102,-1,0,10,,
2015102,2015103,-1,11,20,,
2015103,2015104,-1,21,40,,
2015104,2011105,-1,41,60,,
2015201,2015202,-1,0,10,,
2015202,2015203,-1,11,20,,
2015203,2015204,-1,21,40,,
2015204,2011205,-1,41,60,,
2015301,2015302,-1,0,10,,
2015302,2015303,-1,11,20,,
2015303,2015304,-1,21,40,,
2015304,2011305,-1,41,60,,
2015401,2015402,-1,0,10,,
2015402,2015403,-1,11,20,,
2015403,2015404,-1,21,40,,
2015404,1051405,2031405,41,60,,
2016101,2016102,-1,0,10,,
2016102,2016103,-1,11,20,,
2016103,2016104,-1,21,40,,
2016104,2011105,-1,41,60,,
2016201,2016202,-1,0,10,,
2016202,2016203,-1,11,20,,
2016203,2016204,-1,21,40,,
2016204,2011205,-1,41,60,,
2016301,2016302,-1,0,10,,
2016302,2016303,-1,11,20,,
2016303,2016304,-1,21,40,,
2016304,2011305,-1,41,60,,
2016401,2016402,-1,0,10,,
2016402,2016403,-1,11,20,,
2016403,2016404,-1,21,40,,
2016404,1051405,2031405,41,60,,
2017101,2017102,-1,0,10,,
2017102,2011103,-1,11,20,,
2017103,2017104,-1,21,40,2017101,2017102
2017104,2011105,-1,41,60,2017102,2011103
2017201,2017202,-1,0,10,,
2017202,2011203,-1,11,20,,
2017203,2017204,-1,21,40,2017201,2017202
2017204,2011205,-1,41,60,2017202,2011203
2017301,2017302,-1,11,20,,
