BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
1321,1194,1,2,1,1,1,1,1
1322,1422,1,2,1,1,1,1,1
1323,612,1,2,1,1,1,1,1
1324,642,1,2,1,1,1,1,1
1325,776,1,1,2,1,1,1,1
1326,972,1,1,2,1,1,1,1
1327,1965,1,2,1,1,1,1,1
1328,2921,1,2,1,1,1,1,1
1329,3452,1,2,1,1,1,1,1
1330,2612,1,2,1,1,1,1,1
1331,634,1,2,1,1,1,1,1
1332,870,1,2,1,1,1,1,1
1333,1525,1,2,1,1,1,1,1
1334,1206,1,2,1,1,1,1,1
1335,625,1,2,1,1,1,1,1
1336,504,1,2,1,1,1,1,1
1337,705,1,2,1,1,1,1,1
1338,641,1,2,1,1,1,1,1
1339,807,1,2,1,1,1,1,1
1340,7756,1,2,1,1,1,1,1
1341,1581,1,2,1,1,1,1,1
1342,667,1,2,1,1,1,1,1
1343,428,1,2,1,1,1,1,1
1344,531,1,2,1,1,1,1,1
1345,478,1,2,1,1,1,1,1
1346,2709,1,1,2,1,1,1,1
1347,1430,1,2,1,1,1,1,1
1348,347,1,2,1,1,1,1,1
1349,808,1,2,1,1,1,1,1
1350,830,1,2,1,1,1,1,1
1351,459,1,2,1,1,1,1,1
1352,701,1,2,1,1,1,1,1
1353,1153,1,2,1,1,1,1,1
1354,541,1,2,1,1,1,1,1
1355,2821,1,2,1,1,1,1,1
1356,676,1,2,1,1,1,1,1
1357,1360,1,2,1,1,1,1,1
1358,417,1,2,1,1,1,1,1
1359,1201,1,2,1,1,1,1,1
1360,612,1,2,1,1,1,1,1
1361,1010,1,2,1,1,1,1,1
1362,553,1,2,1,1,1,1,1
1363,636,1,2,1,1,1,1,1
1364,685,1,2,1,1,1,1,1
1365,829,1,2,1,1,1,1,1
1366,1091,1,2,1,1,1,1,1
1367,1732,1,2,1,1,1,1,1
1368,1580,1,2,1,1,1,1,1
1369,719,1,2,1,1,1,1,1
1370,1315,1,2,1,1,1,1,1
1371,1350,1,2,1,1,1,1,1
1372,920,1,2,1,1,1,1,1
1373,3388,1,2,1,1,1,1,1
1374,1188,1,2,1,1,1,1,1
1375,805,1,2,1,1,1,1,1
1376,1189,1,2,1,1,1,1,1
1377,832,1,2,1,1,1,1,1
1378,2014,1,1,2,1,1,1,1
1379,265,1,1,2,1,1,1,1
1380,1198,1,1,2,1,1,1,1
1381,2158,1,2,1,1,1,1,1
1382,868,1,2,1,1,1,1,1
1383,568,1,2,1,1,1,1,1
1384,1222,1,1,2,1,1,1,1
1385,679,1,2,1,1,1,1,1
1386,1907,1,2,1,1,1,1,1
1387,847,1,2,1,1,1,1,1
1388,1441,1,2,1,1,1,1,1
1389,1981,1,2,1,1,1,1,1
1390,2212,1,2,1,1,1,1,1
1391,1403,1,2,1,1,1,1,1
1392,1704,1,2,1,1,1,1,1
1393,326,1,2,1,1,1,1,1
1394,449,1,2,1,1,1,1,1
1395,632,1,2,1,1,1,1,1
1396,946,1,2,1,1,1,1,1
1397,1739,1,1,2,1,1,1,1
1398,781,1,1,2,1,1,1,1
1399,829,1,2,1,1,1,1,1
1400,1280,1,2,1,1,1,1,1
1401,723,1,1,2,1,1,1,1
1402,802,1,1,2,1,1,1,1
1403,444,1,1,2,1,1,1,1
1404,1855,1,1,2,1,1,1,1
1405,3372,1,1,2,1,1,1,1
1406,4104,1,2,1,1,1,1,1
1407,1213,1,1,2,1,1,2,2
1408,1183,1,2,1,1,1,1,1
1409,558,1,2,1,1,1,1,1
1410,2980,1,2,1,1,1,1,1
1411,1691,1,2,1,1,1,1,1
1412,1041,1,2,1,1,1,1,1
1413,834,1,2,1,1,1,1,1
1414,1368,1,2,1,1,1,1,1
1415,1700,1,1,2,1,1,1,1
1416,1068,1,2,1,1,1,1,1
1417,2819,1,2,1,1,1,1,1
1418,3548,1,2,1,1,1,1,1
1419,2247,1,2,1,1,1,1,1
1420,1262,1,1,2,1,1,1,1
1421,895,1,2,1,1,1,1,1
1422,653,1,2,1,1,1,1,1
1423,757,1,2,1,1,1,1,1
1424,1529,1,1,2,1,1,1,1
1425,621,1,2,1,1,1,1,1
1426,745,1,1,2,1,1,1,1
1427,747,1,1,2,1,1,1,1
1428,380,1,1,2,1,1,1,1
1429,620,1,2,1,1,1,1,1
1430,558,1,2,1,1,1,1,1
1431,503,1,1,2,1,1,1,1
1432,2224,1,1,2,1,1,1,1
1433,571,1,1,2,1,1,1,1
1434,1058,1,2,1,1,1,1,1
1435,1890,1,2,1,1,1,1,1
1436,1104,1,2,1,1,1,1,1
1437,2971,1,2,1,1,1,1,1
1438,1126,1,2,1,1,1,1,1
1439,1261,1,2,1,1,1,1,1
1440,596,1,2,1,1,1,1,1
1441,1514,1,1,2,1,1,1,1
1442,718,1,1,2,1,1,1,1
1443,1743,1,1,2,1,1,1,1
1444,1400,1,2,1,1,1,1,1
1445,692,1,2,1,1,1,1,1
1446,938,1,1,2,1,1,1,1
1447,942,1,2,1,1,1,1,1
1448,765,1,2,1,1,1,1,1
1449,1582,1,2,1,1,1,1,1
1450,998,1,1,2,1,1,1,1
1451,834,1,2,1,1,1,1,1
1452,2074,1,2,1,1,1,1,1
1453,762,1,2,1,1,1,1,1
1454,1678,1,1,2,1,1,1,1
1455,1005,1,1,2,1,1,1,1
1456,1634,1,2,1,1,1,1,1
1457,1099,1,2,1,1,1,1,1
1458,1024,1,2,1,1,1,1,1
1459,456,1,1,2,1,1,1,1
1460,571,1,1,2,1,1,1,1
1461,1350,1,2,1,1,1,1,1
1462,1071,1,2,1,1,1,1,1
1463,1051,1,2,1,1,1,1,1
1464,1153,1,2,1,1,1,1,1
1465,2037,1,2,1,1,1,1,1
1466,1203,1,2,1,1,1,1,1
1467,1496,1,2,1,1,1,1,1
1468,1590,1,2,1,1,1,1,1
1469,859,1,2,1,1,1,1,1
1470,1283,1,1,2,1,1,1,1
1471,644,1,2,1,1,1,1,1
1472,6414,1,2,1,2,1,1,1
1473,4064,1,2,1,1,1,1,1
1474,1849,1,2,1,1,1,1,1
1475,610,1,1,2,1,1,1,2
1476,1096,1,1,2,1,1,1,2
1477,2354,1,2,1,2,1,1,1
1478,543,1,2,1,2,1,1,1
1479,1081,1,2,1,1,1,1,1
1480,794,1,1,2,1,1,1,2
1481,1081,1,2,1,1,1,1,1
1482,3625,1,2,1,1,1,2,1
1483,1521,1,2,1,1,1,1,1
1484,350,1,2,1,1,1,1,1
1485,998,1,2,1,1,1,1,1
1486,1405,1,2,1,1,1,1,1
1487,1258,1,2,1,1,1,1,1
1488,1774,1,2,1,1,1,1,1
1489,751,1,2,1,1,1,1,1
1490,345,1,2,1,1,1,1,1
1491,1291,1,1,2,1,1,1,1
1492,1241,1,2,1,1,1,1,1
1493,1056,1,2,1,2,1,1,1
1494,1898,1,2,1,2,1,1,1
1495,590,1,2,1,1,1,1,1
1496,1153,1,2,1,1,1,1,1
1497,1003,1,2,1,1,1,1,1
1498,773,1,2,1,1,1,1,1
1499,1112,1,2,1,2,1,1,1
1500,432,1,2,1,1,1,1,1
1501,1905,1,2,1,1,1,1,1
1502,5637,1,2,1,1,1,1,2
1503,526,1,2,1,1,1,1,1
1504,4512,1,2,1,1,1,1,1
1505,7119,1,2,1,1,1,1,1
1506,3879,1,1,2,1,1,1,1
1507,682,1,2,1,1,1,1,1
1508,3387,1,2,1,1,1,1,1
1510,1026,1,1,2,1,1,1,1
1511,13197,1,1,2,1,1,2,2
1512,1726,1,2,1,1,1,1,1
1513,4681,1,2,1,1,1,2,1
1514,1766,1,2,1,1,1,1,1
1515,856,1,2,1,1,1,1,1
1516,658,1,1,2,1,1,1,1
1517,1430,1,1,2,1,1,1,1
1518,1294,1,2,1,1,1,1,1
1519,520,1,2,1,1,1,1,1
1520,1674,1,1,2,1,1,1,1
1521,893,1,2,1,1,1,2,1
1522,1691,1,1,2,1,1,1,1
1523,725,1,1,2,1,1,2,2
1524,1802,1,1,2,1,1,1,1
1525,4019,1,1,2,1,1,1,1
1526,988,1,2,1,1,1,1,1
1527,5271,1,2,1,1,1,1,1
1528,741,1,2,1,2,1,1,1
1529,2503,1,2,1,1,1,1,1
1530,3480,1,2,1,1,1,1,1
1531,3091,1,2,1,1,1,1,1
1532,3158,1,2,1,1,1,1,1
1533,3986,1,2,1,1,1,1,1
1534,4644,1,2,1,1,1,1,1
1535,1271,1,2,1,1,1,1,1
1536,2612,1,2,1,1,1,1,1
1537,842,1,2,1,1,1,1,1
1538,570,1,2,1,1,1,1,1
1539,1338,1,1,2,1,1,1,1
1540,915,1,2,1,2,1,1,2
1541,1010,1,1,2,1,1,1,1
1542,1900,1,2,1,1,1,1,1
1543,2709,1,2,1,1,1,1,1
1544,5234,1,2,1,1,1,1,1
1545,1238,1,1,2,1,1,1,1
1546,1035,1,1,2,1,1,1,1
1547,1060,1,2,1,1,1,1,1
1548,3453,1,2,1,1,1,1,1
1549,1060,1,2,1,1,1,1,1
1550,1480,1,2,1,1,1,1,1
1551,1643,1,1,2,1,1,1,2
1552,818,1,2,1,1,1,1,1
1553,3783,1,1,2,1,1,1,1
1554,2272,1,2,1,2,1,1,1
1555,307,1,2,1,1,1,1,1
1556,856,1,2,1,1,1,1,1
1557,1085,1,2,1,1,1,1,1
1558,1132,1,2,1,1,1,1,1
1559,2968,1,2,1,2,1,1,1
1560,6950,1,2,1,1,1,1,1
1561,1034,1,2,1,1,1,1,1
1562,396,1,1,2,1,1,1,1
1563,1581,1,1,2,1,1,1,1
1564,2465,1,2,1,2,1,1,1
1565,783,1,2,1,1,1,1,1
1566,681,1,2,1,1,1,1,1
1567,1200,1,2,1,1,1,1,1
1568,1350,1,2,1,1,1,1,1
